182,2016.05.19,79.1,78.8,27.3,51.8,51.3,1.63,15.3,23.9,0,21.5,0,0,0,,
183,2016.05.20,79.0209,78.7212,28.3,51.8,51.3,1.63,15.3,23.9,0,21.5,0,0,0,0.1,0.1
184,2016.05.21,78.9418791,78.6424788,29.3,51.8,51.3,1.63,15.3,23.9,0,21.5,0,0,0,0.1,0.1
185,2016.05.22,78.8629372209,78.5638363212,30.3,51.8,51.3,1.63,16,23.9,0,21.5,0,0,0,0.1,0.1
186,2016.05.23,78.7840742837,78.4852724849,31.3,51.8,51.3,1.63,15.3,23.9,0,21.5,0,0,0,0.1,0.1
187,2016.05.24,78.7052902094,78.4067872124,32.3,51.8,51.3,1.63,15.3,23.9,0,21.5,0,0,0,0.1,0.1
188,2016.05.25,78.6265849192,78.3283804252,33.3,51.8,51.3,1.63,15.7,23.9,0,21.5,0,0,0,0.1,0.1
189,2016.05.26,78.5479583343,78.2500520448,34.3,51.8,51.3,1.63,15.3,23.9,0,21.5,0,0,0,0.1,0.1
190,2016.05.27,78.4694103759,78.1718019927,35.3,51.8,51.3,1.63,15.3,23.9,0,21.5,0,0,0,0.1,0.1
191,2016.05.28,78.3909409656,78.0936301907,36.3,51.8,51.3,1.63,15.3,23.9,0,21.5,0,0,0,0.1,0.1
192,2016.05.29,39.8945690086,39.5915554726,37.3,51.8,51.3,1.63,15.5,23.9,0,21.5,0,0,0,49.1081896489,49.3024522283
193,2016.05.30,39.8147798706,39.5123723617,38.3,51.8,51.3,1.63,15.3,23.9,0,21.5,0,0,0,0.2,0.2
194,2016.05.31,39.7351503108,39.4333476169,39.3,51.8,51.3,1.63,15.3,23.9,0,21.5,0,0,0,0.2,0.2
195,2016.06.01,39.6556800102,39.3544809217,40.3,51.8,51.3,1.63,15.3,23.9,0,21.5,0,0,0,0.2,0.2
196,2016.06.02,39.5763686502,39.2757719599,41.3,51.8,51.3,1.63,15.3,23.9,0,21.5,0,0,0,0.2,0.2
197,2016.06.03,39.4972159129,39.1972204159,42.3,51.8,51.3,1.63,15.3,23.9,0,21.5,0,0,0,0.2,0.2
198,2016.06.04,39.4182214811,39.1188259751,43.3,51.8,51.3,1.63,15.3,23.9,0,21.5,0,0,0,0.2,0.2
199,2016.06.05,39.3393850381,39.0405883232,44.3,51.8,51.3,1.63,15.3,23.9,0,21.5,0,0,0,0.2,0.2
200,2016.06.06,39.260706268,38.9625071465,45.3,51.8,51.3,1.63,15.3,23.9,0,21.5,0,0,0,0.2,0.2
201,2016.06.07,39.1821848555,38.8845821322,46.3,51.8,51.3,1.63,15.3,23.9,0,21.5,0,0,0,0.2,0.2
202,2016.06.08,39.1038204858,38.8068129679,47.3,51.8,51.3,1.63,15.3,23.9,0,21.5,0,0,0,0.2,0.2
203,2016.06.09,39.0256128448,38.729199342,48.3,51.8,51.3,1.63,15.3,23.9,0,21.5,0,0,0,0.2,0.2
204,2016.06.10,38.9475616191,38.6517409433,49.3,51.8,51.3,1.63,15.3,23.9,0,21.5,0,0,0,0.2,0.2
205,2016.06.11,38.8696664959,38.5744374614,27.3,51.8,51.3,1.63,15.5,23.9,0,21.5,0,0,0,0.2,0.2
206,2016.06.12,38.7919271629,38.4972885865,51.3,51.8,51.3,1.63,15.3,23.9,0,21.5,0,0,0,0.2,0.2
207,2016.06.13,38.7143433086,38.4202940093,52.3,51.8,51.3,1.63,15.3,23.9,0,21.5,0,0,0,0.2,0.2
208,2016.06.14,38.636914622,38.3434534213,27.3,51.8,51.3,1.63,15.3,23.9,0,21.5,0,0,0,0.2,0.2
209,2016.06.15,38.5596407927,38.2667665145,54.3,51.8,51.3,1.63,16,23.9,0,21.5,0,0,0,0.2,0.2
210,2016.06.16,38.4825215111,38.1902329815,55.3,51.8,51.3,1.63,15.3,23.9,0,21.5,0,0,0,0.2,0.2
211,2016.06.17,38.4055564681,38.1138525155,56.3,51.8,51.3,1.63,15.3,23.9,0,21.5,0,0,0,0.2,0.2
